University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems? ,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,target
2020,Male,21,2019,BCSE,8th ,No,Yes,4 hours ,1 time ,Offline,Yes,Yes,2 hours ,Basic,95%,No,No,Yes,Programming,3 hours,Software,Single,No,Bachelor,No,,No,,,25000,
22,Female,20,2020,BCSE,2nd,Yes,Yes,5/6 h,3,Offline,Yes,No,2/3h,Basic,99%,No,No,Yes,Programming,1/2h,Software,Single,Yes,Family,Yes,,No,,,600000,
2022,Female,20,2019,BCSE,2nd,Yes,Yes,4,3/4,Offline,Yes,Yes,4,Basic,100%,No,No,Yes,Programming,2,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Engaged,No,Family,No,,No,,,35000,
2020,Female,20,2019,BCSE,8,Yes,No,1,1,Offline,Yes,Yes,5,Intermediate,80%,No,No,Yes,Web development skill(Frontend),Half an hour some times,Software,Married,No,Bachelor,No,3.49,No,3.67,71,40000,
2020,Male,21,19,BCSE,8,No,No,4,1,Online,Yes,Yes,2,Intermediate,100%,No,No,Yes,Web development skill(Frontend),2,NETWORKING,Single,No,Bachelor,No,3.07,No,2.74,85,20000,
2019,Male,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,8,Intermediate,80-90%,No,No,Yes,Graphics Designing,1,"NETWORKING, Artificial Intelligence, Data Science",Single,No,Family,No,,No,,,20000,
2019,Female,21,2019,BCSE,8,No,Yes,3,1,Offline,Yes,Yes,1,Intermediate,95%,No,No,Yes,Programming,1,"NETWORKING, Data Science",Single,No,Family,No,3.76,No,3.5,83,92000,
2020,Male,22,2019,BCSE,8,No,Yes,3,One .exam time hole day,Offline,No,Yes,Not define,Intermediate,98%,No,No,No,"Software  Development skill, Web development skill(Frontend)",2 or more..but didn't get resources ,"Software, Artificial Intelligence, UI/UX",Single,No,Family,No,2.7,No,2.8,80,35000,
2020,Male,22,2019,BCSE,8th Semester ,No,No,2,1 or 2 times,Offline,Yes,Yes,2 hour,Intermediate,95%,No,No,No,"Web development skill(Frontend), Cyber security, Networking",2 hour,"Hardware, NETWORKING, Artificial Intelligence, Data Science",Single,No,Bachelor,No,,No,,,"20,000",
2020,Male,23,2017,BCSE,8th ,No,Yes,Less than 1 hour ,1,Online,Yes,Yes,1 hour at most ,Intermediate,99%,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",2 hour minimum ,"Software, Hardware, NETWORKING, Web Development ",Single,Yes,Family,No,,No,,,15000,
2020,Male,23,2017,BCSE,8,Yes,Yes,2,1-2,Online,Yes,Yes,1,Intermediate,96-97,No,No,No,Networking,1-2,"Hardware, NETWORKING",Single,Yes,Family,No,,No,,,30000,
2022,Male,21,2020,BCSE,2nd ,No,Yes,3.hour,1 or 2 time ,Offline,Yes,Yes,1 hour,Intermediate,95%,No,No,Yes,Programming,1 hour,Software,Single,Yes,Family,No,3.65,No,,11,45000,
2020,Male,22,2019,BCSE,Summer 2022 (8th),No,Yes,Before the night of examination ,Less then 1 time ,Offline,Yes,Yes,15 hour ,Intermediate,100%,No,No,Yes,Web development skill(Frontend),1,"Hardware, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence",In a relationship,No,Family,No,,No,,,90000 BDT,
2020,Female,21,2019,BCSE,8,No,No,2,2,Offline,Yes,Yes,2,Basic,80%,No,No,No,Web development skill(Frontend),1,Machine Learning / Deep Learning,Single,No,Family,No,,No,,,35000,
2020,Male,20,2019,BCSE,8th,Yes,Yes,2 hour,1,Online,Yes,Yes,3 hours,Basic,95%,No,No,No,Web development skill(Frontend),3,Software,Single,No,Bachelor,No,,No,,,20000 BDT,
2021,Male,21,2020,BCSE,2nd,Yes,Yes,Almost 4 hour,2 times,Offline,Yes,Yes,2 hours,Intermediate,Ragular ,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",5 hours,"Software, NETWORKING, Artificial Intelligence, Hacking",Single,Yes,Bachelor,No,,No,,,Around 1 lacs,
2019,Male,23,2018,BCSE,11,Yes,No,6,2,Offline,Yes,Yes,3,Intermediate,100%,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",5/6,"Software, Artificial Intelligence, UI/UX",Single,Yes,Bachelor,No,3.84,No,3.1,73,30000,
2022,Female,20,2020,BCSE,2nd,No,No,2-3hours,1time,Offline,Yes,Yes,6-7hours,Intermediate,80%,Yes,No,No,Programming,2 hour,Software,Single,No,Bachelor,No,,No,,,"70,000BDT",
2018,Female,24,2016,BCSE,10,No,Yes,2-3,1/2,Online,Yes,Yes,4-5,Basic,90%,Yes,No,No,Web development skill(Frontend),3-4,Software,Single,No,Family,No,,No,,,40000,
2022,Female,21,2020,BCSE,2nd,Yes,No,2/3 hour,4/5 hour,Offline,Yes,Yes,1/2 hour,Basic,100%,No,No,Yes,Programming,2,Software,Engaged,Yes,Bachelor,No,,No,,,"1,0000+",
2021,Male,20,2020,BCSE,Summer-22,Yes,Yes,2,1,Offline,Yes,Yes,2,Advance,85-95%,No,No,Yes,Programming,4,Software,In a relationship,No,Bachelor,No,,No,,,40000,
2021,Male,22,2020,BCSE,4th,Yes,Yes,1,1,Offline,Yes,Yes,1,Intermediate,90%,No,No,No,Programming,0,Software,Single,No,Family,No,,No,,,20000,
2021,Male,20,2019,BCSE,5th,No,No,3,2,Offline,Yes,Yes,Less than an hour ,Intermediate,98%,No,No,No,"Programming, Software  Development skill, Web development skill(Backend), Machine Learning, Game Development ",8 hour,"Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,,No,,,22000,
2019,Male,23,2017,BCSE,11th,No,Yes,3-5 hours,2 times,Online,Yes,Yes,1-3 hours,Intermediate,85%,Yes,No,Yes,Web development skill(Frontend),2 hours,Software,Single,No,Bachelor,Yes,,No,,,45000 BDT,
2020,Female,21,2019,BCSE,8th,No,Yes,4,1,Offline,Yes,Yes,3,Intermediate,90%,No,No,Yes,"Programming, Web development skill(Frontend)",1,Software,Single,No,Family,No,,No,,,40000,
2022,Female,20,2020,BCSE,2nd,Yes,Yes,2 hr,1 time ,Offline,Yes,Yes,5 hr,Intermediate,90%,No,No,Yes,Programming,1,Software,Single,No,Family,Yes,,No,,,50000,
2020,Female,22,2019,BCSE,8th,Yes,No,3-4,1or2,Offline,Yes,Yes,4-5 hr,Intermediate,90%,No,No,Yes,"Programming, Web development skill(Frontend)",2,"Software, Machine Learning / Deep Learning, Data Science",Single,No,Bachelor,No,,No,,,50000,
18,Male,23,17,BCSE,Summer 22,No,No,2,4,Offline,Yes,Yes,6,Basic,Yes,Yes,No,Yes,Networking,1,Software,In a relationship,No,Bachelor,No,,No,,,30000,
