Do you have meritorious scholarship ?,How many hour do you study daily?,What is your preferable learning mode?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,What is your relationship status?,What was your previous SGPA?,What is your current CGPA?,target
0,4.5,1,7.5,2,44,0,3,2.5,2.85,0
0,3.0,0,3.0,1,48,0,3,2.65,2.85,1
0,3.290201005025126,0,3.551912339475154,2,71,1,3,3.22,2.83,1
1,5.0,0,2.0,2,67,0,3,4.0,4.0,3
0,6.0,1,6.0,0,55,0,3,3.02,3.05,0
0,2.5,0,2.5,2,62,0,3,3.89,3.7,2
1,3.0,0,3.0,1,71,1,3,2.15,2.54,0
0,3.290201005025126,0,3.0,2,61,0,3,3.78,3.54,2
0,6.0,1,4.0,2,55,0,3,3.51,3.51,2
0,5.0,0,3.0,0,55,1,0,2.13,2.45,0
0,2.0,0,2.0,2,44,0,3,3.4,2.8,1
1,2.5,0,3.551912339475154,2,64,0,3,3.78,3.77,2
0,3.290201005025126,0,2.0,2,66,0,3,3.4,3.65,2
0,2.0,0,4.0,0,55,0,3,3.66,3.37,2
0,2.5,0,4.0,2,34,0,3,3.59,3.55,0
1,4.0,0,3.0,1,48,0,3,3.03,3.03,1
1,2.5,0,2.0,1,55,0,3,3.94,3.9,2
0,3.0,0,4.0,2,64,0,3,3.49,3.44,2
0,2.5,0,4.0,2,55,0,3,3.58,3.5,2
0,4.0,1,3.0,0,44,1,2,2.96,2.61,0
1,2.0,0,2.0,2,55,0,3,3.38,3.53,2
1,2.0,0,3.0,2,61,0,3,3.12,3.07,1
0,3.0,0,5.0,0,61,1,1,2.76,2.64,0
1,3.5,0,3.5,0,55,0,3,3.84,3.78,2
0,3.0,0,2.5,1,55,1,2,3.08,3.15,1
0,2.0,1,2.0,2,71,0,3,3.1,3.16,1
1,4.0,0,3.551912339475154,0,69,0,3,3.36,3.47,2
0,3.0,0,3.0,2,55,1,3,2.9,2.19,0
0,4.0,0,3.0,2,55,0,3,3.32,3.25,2
0,6.0,0,2.0,2,48,1,3,3.3,3.15,1
0,4.0,0,3.0,2,61,0,3,3.92,3.78,3
1,4.5,1,3.5,2,66,1,3,3.33,2.9,1
1,3.0,0,3.551912339475154,2,51,0,3,3.54,3.4,2
1,5.0,0,2.0,2,66,0,3,3.66,3.81,3
0,2.0,0,2.0,2,44,0,3,3.78,3.13,1
0,5.0,0,3.0,2,48,0,3,3.82,3.81,1
1,4.0,0,3.551912339475154,1,44,0,3,3.54,3.54,1
1,4.0,0,2.0,1,61,0,3,2.55,2.55,0
0,3.0,1,5.0,2,55,0,3,3.65,3.59,1
1,3.5,0,4.0,2,60,0,3,3.62,3.62,2
1,3.5,1,2.0,2,61,0,3,3.5,3.5,2
1,5.0,1,3.0,2,71,0,3,3.48,3.48,2
0,3.290201005025126,0,3.551912339475154,2,71,0,1,3.01,2.92,1
1,4.0,0,3.0,2,71,0,3,3.86,3.56,2
1,5.0,0,2.0,2,55,0,2,3.07,3.42,2
1,3.5,0,4.5,2,62,0,3,3.59,3.56,1
0,2.0,0,6.0,2,55,0,3,2.59,3.06,0
0,2.0,0,2.0,2,67,1,3,3.3,3.24,2
1,3.0,0,2.0,1,71,0,3,3.9,3.9,3
0,2.0,0,5.0,1,38,1,3,2.55,2.65,0
